Example,Line,Coder 1,Coder 2
115,1,,
115,3,,
115,4,C9.a.,
115,5,,
115,6,,
115,8,,
115,10,C1.a.iii.,C1.a.iii.
115,11,,
115,12,,
115,13,,
115,14,C1.a.iii.,C1.a.iii.
115,17,C1.a.ii.,C1.a.ii.
115,18,,
115,20,,C1.a.iii.
115,21,C1.a.ii.,C1.a.ii.
115,24,C1.a.ii.,C1.a.ii.
115,25,,
124,1,C4.a.iii.,C4.a.iii.
124,3,C8. C1.a.i.,C8. C1.a.i. C3.a.
124,4,C1.a.ii.,C8. C1.a.ii.
124,5,,
124,6,,
124,7,C12.a.,C12.a.
142,1,,
142,3,C2.b.,C2.b.
142,4,,
142,5,C1.a.i.,C1.a.i.
142,6,,
142,7,,
142,9,C1.a.i.,C1.a.i.
142,10,,
142,11,C12.a.,C12.a.
134,1,,
134,3,,
134,4,,
134,5,,
134,6,,
134,7,,
121,1,,
121,3,C9.a.,C7.c.
116,1,,
116,3,C5.,C5.
116,4,C13. C8.,C1.a.
116,5,C13. C8.,C13. C8.
116,6,C13. C8.,C13. C8.
116,7,C13. C8.,C13. C8. C4.
116,8,,C3.a.
116,9,,
116,11,C12.a.,C12.a.
196,1,,
196,3,,
125,1,,
125,3,C5.,
125,4,C1.b.i.,C1.b.i.
125,6,,
125,7,,C3.a.
125,8,C12.a.,C12.a.
178,1,,
178,3,C5.,C5.
178,4,C1.a.i.,C1.a.i.
178,5,,C2.a.i.
178,6,C1.a.i.,C1.a.i.
178,7,C12.a.,C12.a.
151,1,,
151,3,C5.,C5.
151,4,,
151,6,,
151,7,,C6.
151,9,,
151,11,,
151,15,,
151,16,,C6.
151,18,,
151,20,,
151,23,,
151,24,,C6.
151,26,,
151,28,,
151,29,,C6.
151,31,,
151,33,C3.a.,C2.a.i.
151,34,,
151,35,C12.a.,C12.a.
112,1,,
112,3,C4.,C8. C11.
112,4,,
194,1,,
194,3,C5.,
194,4,C5.b.,C5.b.
194,5,C5.b.,C5.b.
194,6,,C2.a.i.
194,7,,C2.a.i.
194,8,,
194,9,,
194,11,,C6.c.
194,13,,
128,1,,
128,3,C3.a. C9.b. C4.b.,C3.a. C9.b.
128,4,,
128,6,C1.a.i.,C1.a.i.
128,7,C1.a.i.,C1.a.i.
128,9,C1.a.i.,C1.a.i.
128,11,C1.a.i.,C1.a.i.
128,12,C1.a.i.,C1.a.i.
128,13,C1.a.i.,C1.a.i.
128,14,C9.b.,C9.b.
128,15,,
198,1,,
198,3,C5.,C5.
198,4,C5.,C5.
198,5,C4. C4.a.i. C3.a.,C3.a.
198,6,,
198,8,C9.a. C7.d.,C9.a. C7.d.
198,10,C9.a.,C2.a.i.
198,11,,C2.a.i.
198,15,,C2.a.i.
198,18,,
198,19,,
105,1,,
105,3,,
105,6,C6.d.,C6. C8.
105,7,C9.a.,C4. C4.a.ii.
105,9,,
105,10,,
150,1,,
150,3,C5.b.,C5.b.
150,4,,
150,5,,
150,6,,C2.a.i.
150,7,,
150,8,C3.a.,C3.a.
150,9,,
150,10,C1.a.i.,C1.a.i.
150,12,C12.a.,C12.a.
160,1,C4.a.iii.,
160,3,C9.b. C12.a.,C9.b. C12.a.
126,1,,
126,3,,
126,4,C5.,C5.
126,5,C2.a.i.,C2.a.i.
126,6,,
126,7,C1.a.i.,C1.a.i.
126,8,C1.a.i.,C1.a.i.
126,9,C1.a.i.,C1.a.i.
126,11,C1.a.i. C1.a.ii.,C1.a.ii.
126,13,,C1.a.iii.
126,14,,C1.a.i.
126,15,,
126,16,C9.a.,C3.a. C9.a.
126,17,,
126,19,C2.a. C12.a.,C12.a.
138,1,,
138,3,C2.b.,C2.b.
138,5,,C5.
138,6,C9.b.,C9.b.
138,7,C9.b.,C9.b. C6.c.
138,9,C2.b.,C2.b.
138,11,C6.c.,C6.c.
138,13,,
107,1,,
107,3,,
107,4,C5.b.,C5.b.
107,5,C9.a.,
107,6,,C2.a.i.
107,7,C1.a.ii.,C1.a.ii.
107,8,C1.a.ii.,C1.a.ii.
107,9,C1.a.ii.,C1.a.ii.
107,10,C3.a.,C3.a.
107,11,,
159,1,,
159,3,,
159,4,C5.,C5.
159,5,C5.,C5.
159,6,C9.b.,C9.b.
159,8,C15.,C2.b.
159,9,,C2.b.
159,10,,C2.b.
159,12,C1.b. C9.b.,C9.b. C3.a.
159,13,,C2.a.i.
159,14,,
159,16,,C2.a.i.
159,17,,C3.a.
159,19,,C6.
159,20,,C2.a.i.
159,21,,C4.
159,26,C12.a.,C12.a.
193,1,,
193,3,,
193,4,C1.a.i.,C1.a.i.
193,6,C1.a.i.,C1.a.i.
193,8,C9.b.,C9.b.
190,1,,
190,3,,
190,4,,
190,6,C9.a.,C9.a.
190,7,,
190,9,C3.a.,C3.a.
190,10,,
129,1,,
129,3,,C5.b.
129,4,,C2.a.i.
129,5,C1.a.i.,C1.a.i. C1.b.ii.
129,6,C12.a.,C12.a.
131,1,C4.a.i.,
131,3,C4.a.i.,C4.a.i. C3.a.
131,4,,
131,5,,
131,6,,
131,7,,C4.b.
131,8,,
